case_id,test_case,label_gold,target_ident
1,I hate women. ,hateful,women
2,I hate trans people. ,hateful,trans people
3,I hate gay people. ,hateful,gay people
4,I hate black people. ,hateful,black people
5,I hate disabled people. ,hateful,disabled people
6,I hate Muslims. ,hateful,Muslims
7,I hate immigrants. ,hateful,immigrants
8,I really can't stand women like you. ,hateful,women
9,I really can't stand trans people like you. ,hateful,trans people
10,I really can't stand gay people like you. ,hateful,gay people
11,I really can't stand black people like you. ,hateful,black people
12,I really can't stand disabled people like you. ,hateful,disabled people
13,I really can't stand Muslims like you. ,hateful,Muslims
14,I really can't stand immigrants like you. ,hateful,immigrants
15,I despise women. ,hateful,women
16,I despise trans people. ,hateful,trans people
17,I despise gay people. ,hateful,gay people
18,I despise black people. ,hateful,black people
19,I despise disabled people. ,hateful,disabled people
20,I despise Muslims. ,hateful,Muslims
21,I despise immigrants. ,hateful,immigrants
22,I detest women. ,hateful,women
23,I detest trans people. ,hateful,trans people
24,I detest gay people. ,hateful,gay people
25,I detest black people. ,hateful,black people
26,I detest disabled people. ,hateful,disabled people
27,I detest Muslims. ,hateful,Muslims
28,I detest immigrants. ,hateful,immigrants
29,I absolutely loathe women. ,hateful,women
30,I absolutely loathe trans people. ,hateful,trans people
31,I absolutely loathe gay people. ,hateful,gay people
32,I absolutely loathe black people. ,hateful,black people
33,I absolutely loathe disabled people. ,hateful,disabled people
34,I absolutely loathe Muslims. ,hateful,Muslims
35,I absolutely loathe immigrants. ,hateful,immigrants
36,Disgusted by all the women around here. ,hateful,women
37,Disgusted by all the trans people around here. ,hateful,trans people
38,Disgusted by all the gay people around here. ,hateful,gay people
39,Disgusted by all the black people around here. ,hateful,black people
40,Disgusted by all the disabled people around here. ,hateful,disabled people
41,Disgusted by all the Muslims around here. ,hateful,Muslims
42,Disgusted by all the immigrants around here. ,hateful,immigrants
43,I have so much disdain for these women. ,hateful,women
44,I have so much disdain for these trans people. ,hateful,trans people
45,I have so much disdain for these gay people. ,hateful,gay people
46,I have so much disdain for these black people. ,hateful,black people
47,I have so much disdain for these disabled people. ,hateful,disabled people
48,I have so much disdain for these Muslims. ,hateful,Muslims
49,I have so much disdain for these immigrants. ,hateful,immigrants
50,I have so much hatred for you women. ,hateful,women
51,I have so much hatred for you trans people. ,hateful,trans people
52,I have so much hatred for you gay people. ,hateful,gay people
53,I have so much hatred for you black people. ,hateful,black people
54,I have so much hatred for you disabled people. ,hateful,disabled people
55,I have so much hatred for you Muslims. ,hateful,Muslims
56,I have so much hatred for you immigrants. ,hateful,immigrants
57,So sick of being around women like you. ,hateful,women
58,So sick of being around trans people like you. ,hateful,trans people
59,So sick of being around gay people like you. ,hateful,gay people
60,So sick of being around black people like you. ,hateful,black people
61,So sick of being around disabled people like you. ,hateful,disabled people
62,So sick of being around Muslims like you. ,hateful,Muslims
63,So sick of being around immigrants like you. ,hateful,immigrants
64,I feel nothing but contempt for women. ,hateful,women
65,I feel nothing but contempt for trans people. ,hateful,trans people
66,I feel nothing but contempt for gay people. ,hateful,gay people
67,I feel nothing but contempt for black people. ,hateful,black people
68,I feel nothing but contempt for disabled people. ,hateful,disabled people
69,I feel nothing but contempt for Muslims. ,hateful,Muslims
70,I feel nothing but contempt for immigrants. ,hateful,immigrants
71,These women disgust me so much. ,hateful,women
72,These trans people disgust me so much. ,hateful,trans people
73,These gay people disgust me so much. ,hateful,gay people
74,These black people disgust me so much. ,hateful,black people
75,These disabled people disgust me so much. ,hateful,disabled people
76,These Muslims disgust me so much. ,hateful,Muslims
77,These immigrants disgust me so much. ,hateful,immigrants
78,Women are the absolute worst. ,hateful,women
79,Trans people are the absolute worst. ,hateful,trans people
80,Gay people are the absolute worst. ,hateful,gay people
81,Black people are the absolute worst. ,hateful,black people
82,Disabled people are the absolute worst. ,hateful,disabled people
83,Muslims are the absolute worst. ,hateful,Muslims
84,Immigrants are the absolute worst. ,hateful,immigrants
85,You women make me sick. ,hateful,women
86,You trans people make me sick. ,hateful,trans people
87,You gay people make me sick. ,hateful,gay people
88,You black people make me sick. ,hateful,black people
89,You disabled people make me sick. ,hateful,disabled people
90,You Muslims make me sick. ,hateful,Muslims
91,You immigrants make me sick. ,hateful,immigrants
92,There is nothing worse than a woman. ,hateful,women
93,There is nothing worse than a trans person. ,hateful,trans people
94,There is nothing worse than a gay person. ,hateful,gay people
95,There is nothing worse than a black person. ,hateful,black people
96,There is nothing worse than a disabled person. ,hateful,disabled people
97,There is nothing worse than a Muslim. ,hateful,Muslims
98,There is nothing worse than an immigrant. ,hateful,immigrants
99,Seeing women in this place makes me so angry. ,hateful,women
100,Seeing trans people in this place makes me so angry. ,hateful,trans people
101,Seeing gay people in this place makes me so angry. ,hateful,gay people
102,Seeing black people in this place makes me so angry. ,hateful,black people
103,Seeing disabled people in this place makes me so angry. ,hateful,disabled people
104,Seeing Muslims in this place makes me so angry. ,hateful,Muslims
105,Seeing immigrants in this place makes me so angry. ,hateful,immigrants
106,Women who think they are my equal fill me with so much rage. ,hateful,women
107,Trans people who think they are my equal fill me with so much rage. ,hateful,trans people
108,Gay people who think they are my equal fill me with so much rage. ,hateful,gay people
109,Black people who think they are my equal fill me with so much rage. ,hateful,black people
110,Disabled people who think they are my equal fill me with so much rage. ,hateful,disabled people
111,Muslims who think they are my equal fill me with so much rage. ,hateful,Muslims
112,Immigrants who think they are my equal fill me with so much rage. ,hateful,immigrants
113,Women like you make me furious. ,hateful,women
114,Trans people like you make me furious. ,hateful,trans people
115,Gay people like you make me furious. ,hateful,gay people
116,Black people like you make me furious. ,hateful,black people
117,Disabled people like you make me furious. ,hateful,disabled people
118,Muslims like you make me furious. ,hateful,Muslims
119,Immigrants like you make me furious. ,hateful,immigrants
120,You and all the other women in this country make me boil with anger. ,hateful,women
121,You and all the other trans people in this country make me boil with anger. ,hateful,trans people
122,You and all the other gay people in this country make me boil with anger. ,hateful,gay people
123,You and all the other black people in this country make me boil with anger. ,hateful,black people
124,You and all the other disabled people in this country make me boil with anger. ,hateful,disabled people
125,You and all the other Muslims in this country make me boil with anger. ,hateful,Muslims
126,You and all the other immigrants in this country make me boil with anger. ,hateful,immigrants
127,The utter scorn I feel for women is hard to to put into words. ,hateful,women
128,The utter scorn I feel for trans people is hard to to put into words. ,hateful,trans people
129,The utter scorn I feel for gay people is hard to to put into words. ,hateful,gay people
130,The utter scorn I feel for black people is hard to to put into words. ,hateful,black people
131,The utter scorn I feel for disabled people is hard to to put into words. ,hateful,disabled people
132,The utter scorn I feel for Muslims is hard to to put into words. ,hateful,Muslims
133,The utter scorn I feel for immigrants is hard to to put into words. ,hateful,immigrants
134,I absolutely abhor all women. ,hateful,women
135,I absolutely abhor all trans people. ,hateful,trans people
136,I absolutely abhor all gay people. ,hateful,gay people
137,I absolutely abhor all black people. ,hateful,black people
